tweet_id,date,location,bounding_box,lang,text,important_tweet,emoji,hastag
1327960730415603713,Sun Nov 15 13:04:45 +0000 2020,"Pas-de-Calais, Nord-Pas-de-Cal",empty,fr,vivement tourista effets secondaires c'est l'humour,1,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,merci alexdessinateur
1327960741375332352,Sun Nov 15 13:04:47 +0000 2020,"Pas-de-Calais, Nord-Pas-de-Cal",empty,fr,15.11.2020 effets secondaires multiplient,1,,dessin covid19
1327528024737255424,Sat Nov 14 08:25:20 +0000 2020,,empty,fr,j’étais attaché parlementaire ancienne vie souviens noël mamère sortant vélo coffre d’une berline faire d’arriver pédalant 126 rue l’université week-end l’écologie,1,😘,
1327942011689836545,Sun Nov 15 11:50:22 +0000 2020,,empty,fr,revenu universel deviendra temps exclusivement numérique cédé conditions l'obligation vaccinale exemple,1,,
1327960762606882816,Sun Nov 15 13:04:52 +0000 2020,Québec (Québec),empty,fr,excellente remarque épidémiologistes improvisés sceptiques convenance libertariens mil…,1,,
1327960769464504322,Sun Nov 15 13:04:54 +0000 2020,Lugdunum,empty,fr,société animée mentalité « après déluge » l’aboutissement…,1,,
1327960772123701249,Sun Nov 15 13:04:55 +0000 2020,,empty,fr,bienvenue exemple attestation emmener enfants l'école deuxièm…,2,🔴💥,absurdistanautoritaire
1327960777031118850,Sun Nov 15 13:04:56 +0000 2020,World Citizen....,empty,fr,chose tourne vraiment rond voir mal finir,1,☹,
1327960778817892352,Sun Nov 15 13:04:56 +0000 2020,Arkam-City,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327960786749317121,Sun Nov 15 13:04:58 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327960786740916227,Sun Nov 15 13:04:58 +0000 2020,"Oloron-Sainte-Marie, France",empty,fr,servez vois tweets madame conseillère régional…,1,🧽👉,
1327960790352211968,Sun Nov 15 13:04:59 +0000 2020,🇫🇷 ,empty,fr,qu'on qu'on entend qu'on entend qu'on voit voit ferez vacciner le…,1,,
1327960794286358528,Sun Nov 15 13:05:00 +0000 2020,Nevers,empty,fr,indemnité exceptionnelle étudiants infirmiers bourgogne-franche-comté mobilisés crise sanita…,2,,
